esrs,dr,paragraph,name,datatype,appendix,voluntary
E1, E1-1 ,14,Disclosure of transition plan  for climate change mitigation,narrative,CL,,
E1, E1-1 ,16a,Explanation of how targets are compatible with limiting of global warming to one and half degrees Celsius in line with Paris Agreement ,narrative,,,
E1, E1-1 ,16b,Disclosure of decarbonisation levers and key action ,narrative,,,
E1, E1-1 ,16c,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan ,narrative,,,
E1, E1-1 ,16c,Financial resources allocated to action plan (OpEx),monetary,,,
E1, E1-1 ,16c,Financial resources allocated to action plan (CapEx),monetary,,,
E1, E1-1 ,16d,Explanation of potential locked-in GHG emissions from key assets and products and of how locked-in GHG emissions may jeopardise achievement of GHG emission reduction targets and drive transition risk ,narrative,,,
E1, E1-1 ,16e,"Explanation of any objective or plans (CapEx, CapEx plans, OpEx) for aligning economic activities (revenues, CapEx, OpEx) with criteria established in Commission Delegated Regulation 2021/2139 ",narrative,,,
E1, E1-1 ,16f,Significant CapEx for coal-related economic activities,monetary,,,
E1, E1-1 ,16f,Significant CapEx for oil-related economic activities,monetary,,,
E1, E1-1 ,16f,Significant CapEx for gas-related economic activities,monetary,,,
E1, E1-1 ,16g,Undertaking is excluded from EU Paris-aligned Benchmarks,semi-narrative,PILLAR 3 + Benchmark,,
E1, E1-1,16h,Explanation of how transition plan is embedded in and aligned with overall business strategy and financial planning ,narrative,,,
E1, E1-1 ,16i,"Transition plan is approved by administrative, management and supervisory bodies",semi-narrative,,,
E1, E1-1 ,16j,Explanation of progress in implementing transition plan ,narrative,,,
E1, E1-1 ,17,Date of adoption of transition plan for undertakings not having adopted transition plan yet,gYear,,,
E1, E1-2 ,24,"  Policies in place to manage its material impacts, risks and opportunities related to climate change mitigation and adaptation [see ESRS 2 MDR-P]",MDR-P,,,
E1, E1-2,25,Sustainability matters addressed by policy for climate change,semi-narrative,,,
E1, E1-3 ,28,Actions and Resources related to climate change mitigation and adaptation [see ESRS 2 MDR-A],MDR-A,,,
E1, E1-3 ,29a,Decarbonisation lever type,semi-narrative,,,
, E1-3,AR19d,Adaptation solution type,semi-narrative,,,
E1, E1-3,29b,Achieved GHG emission reductions,ghgEmissions,,,
E1, E1-3,29b,Expected GHG emission reductions,ghgEmissions,,,
E1, E1-3,AR21,Explanation of extent to which ability to implement action depends on availability and allocation of resources ,narrative,,,
E1, E1-3,29ci,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to relevant line items or notes in financial statements ,narrative,,,
E1, E1-3,"29cii,16c",Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to key performance indicators required under Commission Delegated Regulation (EU) 2021/2178 ,narrative,,,
E1, E1-3,"19ciii,16c",Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to CapEx plan required by Commission Delegated Regulation (EU) 2021/2178 ,narrative,,,
E1, E1-3,AR22,Explanation of any potential differences between significant OpEx and CapEx disclosed under ESRS E1 and key performance indicators disclosed under Commission Delegated Regulation (EU) 2021/2178 ,narrative,,,
E1, E1-4 ,32,Tracking effectiveness of policies and actions through targets [see ESRS 2 MDR-T ],MDR-T,,,
E1, E1-4 ,33,"Disclosure of how GHG emissions reduction targets and (or) any other targets have been set to manage material climate-related impacts, risks and opportunities ",narrative,,,
E1, E1-4 ,34a + 34 b,"Tables: Multiple Dimensions (baseline year and targets; GHG Types, Scope 3 Categories, Decarbonisation levers, entity-specific denominators for intensity value)",Table ,,,
E1, E1-4 ,34a + 34 b,Absolute value of total Greenhouse gas emissions reduction,Table/ghgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Percentage of total Greenhouse gas emissions reduction (as of emissions of base year),Table/percent,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Intensity value of total Greenhouse gas emissions reduction,Table/decimal,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Absolute value of Scope 1 Greenhouse gas emissions reduction,Table/ghgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Percentage of Scope 1 Greenhouse gas emissions reduction (as of emissions of base year),Table/percent,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Intensity value of Scope 1 Greenhouse gas emissions reduction,Table/decimal,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Absolute value of location-based Scope 2 Greenhouse gas emissions reduction,Table/ghgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Percentage of location-based Scope 2 Greenhouse gas emissions reduction (as of emissions of base year),Table/percent,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Intensity value of location-based Scope 2 Greenhouse gas emissions reduction,Table/decimal,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Absolute value of market-based Scope 2 Greenhouse gas emissions reduction,Table/ghgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Percentage of market-based Scope 2 Greenhouse gas emissions reduction (as of emissions of base year),Table/percent,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Intensity value of market-based Scope 2 Greenhouse gas emissions reduction,Table/decimal,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Absolute value of Scope 3 Greenhouse gas emissions reduction,Table/ghgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Percentage of Scope 3 Greenhouse gas emissions reduction (as of emissions of base year),Table/percent,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34a + 34 b,Intensity value of Scope 3 Greenhouse gas emissions reduction,Table/decimal,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-4 ,34b,Explanation of how consistency of GHG emission reduction targets with GHG inventory boundaries has been ensured ,narrative,,,
E1, E1-4 ,34c,Disclosure of past progress made in meeting target before current base year ,narrative,,V,
E1, E1-4 ,AR 25 a,Description of how it has been ensured that baseline value is representative in terms of activities covered and influences from external factors ,narrative,,,
E1, E1-4 ,AR 25 b,"Description of how new baseline value affects new target, its achievement and presentation of progress over time ",narrative,,,
E1, E1-4,"34e,16a",GHG emission reduction target is science based and compatible with limiting global warming to one and half degrees Celsius,semi-narrative,,,
E1, E1-4 ,"34f,16b",Description of expected decarbonisation levers and their overall quantitative contributions to achieve GHG emission reduction target ,narrative,,,
E1, E1-4,AR 30c,"Diverse range of climate scenarios have been considered to detect relevant environmental, societal, technology, market and policy-related developments and determine decarbonisation levers",narrative,,,
E1, E1-5,37,Total energy consumption related to own operations,energy,SFDR,,
E1, E1-5,37a,Total energy consumption from fossil sources,energy,SFDR,,
E1, E1-5,37b,Total energy consumption from nuclear sources,energy,SFDR,,
E1, E1-5,AR 34,Percentage of energy consumption from nuclear sources in total energy consumption,percent,,,
E1, E1-5,37c,Total energy consumption from renewable sources,energy,SFDR,,
E1, E1-5,37ci,Fuel consumption from renewable sources,energy,SFDR,,
E1, E1-5,37cii,"Consumption of purchased or acquired electricity, heat, steam, and cooling from renewable sources",energy,SFDR,,
E1, E1-5,37ciii,Consumption of self-generated non-fuel renewable energy,energy,SFDR,,
E1, E1-5,"AR 34, AR 71",Percentage of renewable sources in total energy consumption,percent,,,
E1, E1-5,38a,Fuel consumption from coal and coal products,energy,SFDR,,
E1, E1-5,38b,Fuel consumption from crude oil and petroleum products,energy,SFDR,,
E1, E1-5,38c,Fuel consumption from natural gas,energy,SFDR,,
E1, E1-5,38d,Fuel consumption from other fossil sources,energy,SFDR,,
E1, E1-5,38e,"Consumption of purchased or acquired electricity, heat, steam, or cooling from fossil sources",energy,SFDR,,
E1, E1-5,AR 34,Percentage of fossil sources in total energy consumption,percent,,,
E1, E1-5,39,Non-renewable energy production,energy,,,
E1, E1-5,39,Renewable energy production,energy,,,
E1, E1-5,40,Energy intensity from activities in high climate impact sectors (total energy consumption per net revenue),percent,SFDR,,
E1, E1-5,41,Total energy consumption from activities in high climate impact sectors,energy,SFDR,,
E1, E1-5,42,High climate impact sectors used to determine energy intensity,semi-narrative,SFDR,,
E1, E1-5,43,Disclosure of reconciliation to relevant line item or notes in financial statements of net revenue from activities in high climate impact sectors ,narrative,SFDR,,
E1, E1-5,AR 38b,Net revenue from activities in high climate impact sectors,monetary,,,
E1, E1-5,AR 38b,Net revenue from activities other than in high climate impact sectors,monetary,,,
E1, E1-6,44,"Gross Scopes 1, 2, 3 and Total GHG emissions - GHG emissions per scope [table]",Table ,,,
E1, E1-6 ,50,"Gross Scopes 1, 2, 3 and Total GHG emissions - financial and operational control [table]",Table ,,,
E1, E1-6 ,AR 41,"GHG emissions - by country, operating segments, economic activity, subsidiary, GHG category or source type",Table ,,,
E1, E1-6 ,AR 46 d,"Gross Scopes 1, 2, 3 and Total GHG emissions - Scope 3 GHG emissions (GHG Protocol) [table]",Table ,,,
E1, E1-6 ,AR 50,"Gross Scopes 1, 2, 3 and Total GHG emissions - Scope 3 GHG emissions (ISO 14064-1) [table]",Table ,,,
E1, E1-6 ,AR 52,"Gross Scopes 1, 2, 3 and Total GHG emissions - total GHG emissions - value chain [table]",Table ,,,
E1,E1-6,48 a,Gross Scope 1 greenhouse gas emissions ,Table/GhgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1,E1-6,48 b,Percentage of Scope 1 GHG emissions from regulated emission trading schemes,Table/Percent,SFDR+PILLAR 3+ BENCHMARK,,
E1,E1-6,49 a,Gross location-based Scope 2 greenhouse gas emissions,Table/GhgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1,E1-6,49 b,Gross market-based Scope 2 greenhouse gas emissions,Table/GhgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1,E1-6,51,Gross Scope 3 greenhouse gas emissions,Table/GhgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1,E1-6,44+52,Total GHG emissions ,Table/GhgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1,E1-6,44+52a,Total GHG emissions location based,Table/GhgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1,E1-6,44+52b,Total GHG emissionsmarket based,Table/GhgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1,E1-6,52 a),Scope 2 location-based,Table/GhgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1,E1-6,52 b),Scope 2 market-based,Table/GhgEmissions,SFDR+PILLAR 3+ BENCHMARK,,
E1,E1-6,47,Disclosure of significant changes in definition of what constitutes reporting undertaking and its value chain and explanation of their effect on year-to-year comparability of reported GHG emissions,narrative,,,
