esrs,dr,paragraph,name,datatype,appendix,voluntary
S3,S3-1,14,"Policies to manage material impacts, risks and opportunities related to affected communities [see ESRS 2 MDR-P]",MDR-P,,
S3,S3-1,16,Description of relevant human rights policy commitments relevant to affected communities,narrative,SFDR,
S3,S3-1,16 a,Disclosure of general approach in relation to respect for human rights ,narrative,SFDR,
S3,S3-1,16 b,Disclosure of general approach in relation to engagement with affected communities,narrative,SFDR,
S3,S3-1,16 c,Disclosure of general approach in relation to measures to provide and (or) enable remedy for human rights impacts ,narrative,SFDR,
S3,S3-1,17,Description of how policies are aligned with relevant internationally recognised instruments ,narrative,,
S3,S3-1,AR 9,Disclosure of explanations of significant changes to policies adopted during reporting year ,narrative,,V
S3,S3-2,21,Disclosure of how perspectives of  affected communities   inform decisions or activities aimed at managing actual and potential  impacts ,narrative,,
S3,S3-2,21 a,"Engagement occurs with affected communities  or their legitimate representatives directly, or with credible proxies",semi-narrative,,
S3,S3-2,21 b,"Disclosure of stage at which engagement occurs, type of engagement and frequency of engagement ",narrative,,
S3,S3-2,21 c,Disclosure of function and most senior role within undertaking that has operational responsibility for ensuring that engagement happens and that results inform undertakings approach ,narrative,,
S3,S3-2,21 d,Disclosure of how the undertaking assesses the effectiveness of its engagement with affected communities,narrative,,
S3,S3-2,22,Disclosure of how effectiveness of engagement with  affected communities   is assessed ,narrative,,
S3,S3-2,23,Disclosure of steps taken to gain insight into perspectives of  affected communities hat may be particularly vulnerable to impacts and (or) marginalised ,narrative,,
S3,S3-2,24,Disclosure of timeframe for adoption of general process to engage with  affected communities   in case the undertaking has not adopted a general process for engagement,narrative,,V
S3,S3-2,AR 14,Type of role or function handling with engagement,semi-narrative,,V
S3,S3-3,27 a ,Disclosure of general approach to and processes for providing or contributing to remedy where undertaking has identified that it connected with a material negative impact on  affected communities   ,narrative,,
S3,S3-3,27 b ,Disclosure of specific channels in place for  affected communities   to raise concerns or needs directly with undertaking and have them addressed ,narrative,,
S3,S3-3,27 c ,Disclosure of processes through which undertaking supports or requires availability of channels ,narrative,,
